Wf5_CRXAd,eng,Abaza,1
iUmVPeWoR,eng,Abazazu,1
m6fy9WzlQSj,eng,Acakı,1
05SUY47UmGm,eng,Acakıgua,1
VwcGhPe8n,eng,Adıga,1
vi_iXfCOe,eng,Adıgazu,1
jY37gERQbv,eng,Afagaq,1
g1tT-Iu0hB,eng,Afagaqgua,1
AU8lu8b89,eng,Afarı'usona,1
official:Afarı,eng,Afarı,1
3tASjSx9B,tok,Afarı,1
Ch-VITkiM,pol,Afarı,1
E1-Sens1a,lou,Afarı,1
a6cU0AvKk,eng,Afıkaqzu,1
Nxgzjb1PkgH,eng,Ageqtına,1
gmgtQiRbFiC,eng,Ageqtınagua,1
sPQ0r3W8-,eng,Ajıchedam,1
xf-Y_w8K_,eng,Akuılagua,1
jXsnQvc1x,eng,Amarazu,1
8LPYpnwNbJs,eng,Amenıa,1
VEbS7knkEom,eng,Amenıagua,1
official:Amerıka,eng,Amerıka,1
oXE1buIMO,tok,Amerıka,1
4lFpXGJWgW,pol,Amerıka,1
b9rOX9Pl2,lou,Amerıka,1
zVX3tzfRI,eng,Anaosamızu,1
aiUuApOQl,eng,Anatorıaq,1
kwD7jEGY4,eng,Aofatoaq,1
S0dPq7zl5nX,eng,Aotearoa,1
U0f2Dlnh2TB,eng,Aotearoagua,1
MsE0gMdrIu,eng,Aqdora,1
3nrzGuPxSP,eng,Aqdoragua,1
TpcmZqKPef,eng,Aqgola,1
F_qiFpi5tcU,eng,Aqgolagua,1
I3AWVkHTE,eng,Aqlızu,1
QlOsv3Wjx,eng,Aqtatıka,1
xvTFHbSIIjL,eng,Aqtıguaroıbabuda,1
FMoD7Me1hYs,eng,Aqtıguaroıbabudagua,1
kY8WZOiBt,eng,Arabı,1
7eqkfmGPp,eng,Arabızu,1
gERgkjqUh,eng,Areqtına,1
N6z0cnh0_,eng,Areqtınagua,1
rk_-AREFL,eng,Asua,1
xqB4jd2Fi,eng,Asuazu,1
kGraXGRIW,eng,Asunuım,1
official:Asıa,eng,Asıa,1
OiTW5QOPU,pol,Asıa,1
D8Zz5NJ4S,eng,Atalaqnaomıq,1
Iz8hNsIme03,eng,Azebaı,1
Z1RY-oZosMe,eng,Azebaıgua,1
49iejB4vd,eng,Azerı,1
syNStH6KT,eng,Azerıgua,1
PMPXhng5j,eng,Azerızu,1
XV912kb6i,eng,Aımarazu,1
w-h37IoTn,eng,Aꝡereshozu,1
xB7pSkz-iQd,eng,Babado,1
bSRcZbDRihF,eng,Babadogua,1
eemTtQj0cuF,eng,Bahama,1
PTzDia9dmyg,eng,Bahamagua,1
LVAcP-3H0,eng,Bakadam,1
Th5RcgloU,eng,Bakajıa,1
MSJ59gJ2lU,eng,Bakajıagua,1
Yg-7WjZLO,eng,Bakuqtoaı,1
VdxQW9MaH,eng,Bamanazu,1
iIktkPE1VSm,eng,Banuatu,1
Rcm6Xux_rxI,eng,Banuatugua,1
u67ORuea6,eng,Baorusı,1
FeUv7e9My,eng,Baorusıgua,1
eQUi8heGc6d,eng,Baqladeshı,1
NBCznshFWKZ,eng,Baqladeshıgua,1
ilwEO7j0v,eng,Baqlazu,1
zURG_La0aHc,eng,Barajıu,1
rvtlzgDiTow,eng,Barajıugua,1
qitheWw7b,eng,Baranızu,1
YgPM94g_d,eng,Baratanaomı,1
6dkuPHcZyl9,eng,Baraını,1
kGWvW7VYt8t,eng,Baraınıgua,1
3X5XicS47JH,eng,Batıkaq,1
nntYMCIXwkb,eng,Batıkaqgua,1
mjycmM5-VSv,eng,Bekıqtaq,1
-9VuF9AQI69,eng,Bekıqtaqgua,1
wHXgLYFrUcu,eng,Belarusı,1
UGotybRwL52,eng,Belarusıgua,1
wf2sjW891,eng,Belejı,1
VS0HqSZlj,eng,Belejıgua,1
QJ89cxFLzbn,eng,Belıje,1
_1rAPL7Y4GK,eng,Belıjegua,1
9ujTBKcVpg0,eng,Benejuela,1
4GgQp1CRWnt,eng,Benejuelagua,1
vnHtqlCYF,eng,Benelu,1
VxPd1mn-Mi3,eng,Benıq,1
BK31BnchUmH,eng,Benıqgua,1
QipznPP05,eng,Beqtarım,1
hKUMWJuXq,eng,Berabaqzu,1
7FTPpOPZf,eng,Bereoropa,1
1R-EhmLHy,eng,Beroafarı,1
SfZnD-U_e,eng,Beroamerıka,1
rZGbJxzBk,eng,Berogaorea,1
m1IInhzK1,eng,Beroguqto,1
Sm7bxjnaf,eng,Beronuım,1
Mr8IqlIIe,eng,Berosamızu,1
LAmLxpQma,eng,Berotoaq,1
WOZloB_Fh,eng,Berotoaqgua,1
OnNjBw87b,eng,Betatoaq,1
nTDqPJyVT,eng,Boanazu,1
sJEBJAml1,eng,Bogarıa,1
iRNPeyk87f,eng,Bogarıagua,1
8PN_TjkkT,eng,Bojıpuzu,1
YCXgh0wFnaz,eng,Bolıbıa,1
1y_TYc4GjmM,eng,Bolıbıagua,1
0G3vAh7UMWq,eng,Bosuana,1
tAMSFZefs1b,eng,Bosuanagua,1
miWVD0hXp,eng,Botıqlızu,1
tsWIviQY-,eng,Bugarıa,1
SUIf177AF,eng,Bugarıagua,1
kH9plACxf,eng,Bugarıazu,1
bQVD8RRKF,eng,Bukınafaso,1
KAf4vA5fof,eng,Bukınafasogua,1
TRVj3UNfdY1,eng,Buma,1
6u5gYO_eLqs,eng,Bumagua,1
8bLAGalQHjn,eng,Buneı,1
X0jRrUYzRWs,eng,Buneıgua,1
gIq04H13FNd,eng,Buruqdı,1
gXeFkTUo7H9,eng,Buruqdıgua,1
A3Ie3axcp,eng,Bushukue,1
R_Rq8mUhMZy,eng,Butaq,1
Rf3Df8tJGvO,eng,Butaqgua,1
tpwfgENdo,eng,Bıenamzu,1
X9LXO33xgVd,eng,Bıenaq,1
IbMsHW36Rj7,eng,Bıenaqgua,1
s_kBxXO-p,eng,Bıetoaq,1
WNEss_VTa,eng,Bırıtaq,1
NTxjLQK0z,eng,Bırıtaqgua,1
kQqjqD6me,eng,Bısaꝡazu,1
sLz8nxzzB,eng,Chatısagazu,1
8yzQ7vbjS,eng,Chaꝡashazu,1
u9GaoFeBBRx,eng,Cheka,1
4w5G3rG2ZfV,eng,Chekagua,1
